Index	Distance (m)	Current (A)	Distance (m)	N/A
120	1.23045E-05	1.5669E-09	1.23045E-05	120
121	0.000012404	1.5658E-09	0.000012404	121
122	0.000012503	1.5648E-09	0.000012503	122
123	0.000012602	1.5637E-09	0.000012602	123
124	1.27015E-05	1.5628E-09	1.27015E-05	124
125	1.28005E-05	1.5617E-09	1.28005E-05	125
126	0.0000129	1.5608E-09	0.0000129	126
127	0.000012999	1.5598E-09	0.000012999	127
128	0.000013098	1.5588E-09	0.000013098	128
129	1.31975E-05	1.5579E-09	1.31975E-05	129
130	1.32965E-05	1.5570E-09	1.32965E-05	130
131	0.000013396	1.5560E-09	0.000013396	131
132	0.000013495	1.5552E-09	0.000013495	132
133	0.000013594	1.5543E-09	0.000013594	133
134	1.36935E-05	1.5534E-09	1.36935E-05	134
135	1.37925E-05	1.5526E-09	1.37925E-05	135
136	0.000013892	1.5517E-09	0.000013892	136
137	0.000013991	1.5509E-09	0.000013991	137
138	0.00001409	1.5501E-09	0.00001409	138
139	1.41895E-05	1.5492E-09	1.41895E-05	139
140	1.42885E-05	1.5484E-09	1.42885E-05	140
141	0.000014388	1.5477E-09	0.000014388	141
142	0.000014487	1.5469E-09	0.000014487	142
143	0.000014586	1.5461E-09	0.000014586	143
144	1.46855E-05	1.5453E-09	1.46855E-05	144
145	1.47845E-05	1.5445E-09	1.47845E-05	145
146	0.000014884	1.5438E-09	0.000014884	146
147	0.000014983	1.5431E-09	0.000014983	147
148	0.000015082	1.5423E-09	0.000015082	148
149	1.51815E-05	1.5416E-09	1.51815E-05	149
150	1.52805E-05	1.5410E-09	1.52805E-05	150
151	0.00001538	1.5402E-09	0.00001538	151
152	0.000015479	1.5396E-09	0.000015479	152
153	0.000015578	1.5389E-09	0.000015578	153
154	1.56775E-05	1.5382E-09	1.56775E-05	154
155	1.57765E-05	1.5376E-09	1.57765E-05	155
156	0.000015876	1.5370E-09	0.000015876	156
157	0.000015975	1.5363E-09	0.000015975	157
158	0.000016074	1.5357E-09	0.000016074	158
159	1.61735E-05	1.5350E-09	1.61735E-05	159
160	1.62725E-05	1.5344E-09	1.62725E-05	160
161	1.63715E-05	1.5338E-09	1.63715E-05	161
162	0.000016471	1.5331E-09	0.000016471	162
163	0.00001657	1.5326E-09	0.00001657	163
164	1.66695E-05	1.5319E-09	1.66695E-05	164
165	1.67685E-05	1.5314E-09	1.67685E-05	165
166	1.68675E-05	1.5308E-09	1.68675E-05	166
167	0.000016967	1.5302E-09	0.000016967	167
168	0.000017066	1.5297E-09	0.000017066	168
169	1.71655E-05	1.5291E-09	1.71655E-05	169
170	1.72645E-05	1.5286E-09	1.72645E-05	170
171	1.73635E-05	1.5280E-09	1.73635E-05	171
172	0.000017463	1.5275E-09	0.000017463	172
173	0.000017562	1.5269E-09	0.000017562	173
174	1.76615E-05	1.5264E-09	1.76615E-05	174
175	1.77605E-05	1.5259E-09	1.77605E-05	175
176	1.78595E-05	1.5255E-09	1.78595E-05	176
177	0.000017959	1.5248E-09	0.000017959	177
178	0.000018058	1.5244E-09	0.000018058	178
179	1.81575E-05	1.5239E-09	1.81575E-05	179
180	1.82565E-05	1.5235E-09	1.82565E-05	180
181	1.83555E-05	1.5230E-09	1.83555E-05	181
182	0.000018455	1.5224E-09	0.000018455	182
183	0.000018554	1.5220E-09	0.000018554	183
184	1.86535E-05	1.5215E-09	1.86535E-05	184
185	1.87525E-05	1.5210E-09	1.87525E-05	185
186	1.88515E-05	1.5205E-09	1.88515E-05	186
187	0.000018951	1.5202E-09	0.000018951	187
188	0.00001905	1.5197E-09	0.00001905	188
189	1.91495E-05	1.5193E-09	1.91495E-05	189
190	1.92485E-05	1.5188E-09	1.92485E-05	190
191	1.93475E-05	1.5184E-09	1.93475E-05	191
192	0.000019447	1.5179E-09	0.000019447	192
193	0.000019546	1.5175E-09	0.000019546	193
194	1.96455E-05	1.5171E-09	1.96455E-05	194
195	1.97445E-05	1.5167E-09	1.97445E-05	195
196	1.98435E-05	1.5163E-09	1.98435E-05	196
197	0.000019943	1.5158E-09	0.000019943	197
198	0.000020042	1.5154E-09	0.000020042	198
199	2.01415E-05	1.5151E-09	2.01415E-05	199
200	2.02405E-05	1.5147E-09	2.02405E-05	200
201	2.03395E-05	1.5143E-09	2.03395E-05	201
202	0.000020439	1.5139E-09	0.000020439	202
203	0.000020538	1.5135E-09	0.000020538	203
204	2.06375E-05	1.5131E-09	2.06375E-05	204
205	2.07365E-05	1.5128E-09	2.07365E-05	205
206	2.08355E-05	1.5124E-09	2.08355E-05	206
207	0.000020935	1.5121E-09	0.000020935	207
208	0.000021034	1.5116E-09	0.000021034	208
209	2.11335E-05	1.5113E-09	2.11335E-05	209
